County,John Hickenlooper / Joe Garcia (DEM),Bob Beauprez / Jill Repella (REP),Total
CountyAdams,"John Hickenlooper / Joe Garcia (DEM)65,450","Bob Beauprez / Jill Repella (REP)58,011","Total130,606"
CountyAlamosa,"John Hickenlooper / Joe Garcia (DEM)2,632","Bob Beauprez / Jill Repella (REP)2,238","Total5,167"
CountyArapahoe,"John Hickenlooper / Joe Garcia (DEM)116,445","Bob Beauprez / Jill Repella (REP)98,374","Total223,899"
CountyArchuleta,"John Hickenlooper / Joe Garcia (DEM)2,153","Bob Beauprez / Jill Repella (REP)3,032","Total5,461"
CountyBaca,John Hickenlooper / Joe Garcia (DEM)406,"Bob Beauprez / Jill Repella (REP)1,354","Total1,866"
CountyBent,John Hickenlooper / Joe Garcia (DEM)548,Bob Beauprez / Jill Repella (REP)937,"Total1,580"
CountyBoulder,"John Hickenlooper / Joe Garcia (DEM)96,565","Bob Beauprez / Jill Repella (REP)36,868","Total141,760"
CountyBroomfield,"John Hickenlooper / Joe Garcia (DEM)14,100","Bob Beauprez / Jill Repella (REP)12,240","Total27,610"
CountyChaffee,"John Hickenlooper / Joe Garcia (DEM)4,211","Bob Beauprez / Jill Repella (REP)4,306","Total8,933"
CountyCheyenne,John Hickenlooper / Joe Garcia (DEM)165,Bob Beauprez / Jill Repella (REP)814,"Total1,037"
CountyClear Creek,"John Hickenlooper / Joe Garcia (DEM)2,455","Bob Beauprez / Jill Repella (REP)1,967","Total4,682"
CountyConejos,"John Hickenlooper / Joe Garcia (DEM)1,727","Bob Beauprez / Jill Repella (REP)1,642","Total3,495"
CountyCostilla,John Hickenlooper / Joe Garcia (DEM)941,Bob Beauprez / Jill Repella (REP)401,"Total1,419"
CountyCrowley,John Hickenlooper / Joe Garcia (DEM)336,Bob Beauprez / Jill Repella (REP)884,"Total1,337"
CountyCuster,John Hickenlooper / Joe Garcia (DEM)765,"Bob Beauprez / Jill Repella (REP)1,656","Total2,522"
