County,Hillary Clinton / Tim Kaine (DEM),Donald J. Trump / Michael R. Pence (REP),Total
CountyAdams,"Hillary Clinton / Tim Kaine (DEM)96,558","Donald J. Trump / Michael R. Pence (REP)80,082","Total193,677"
CountyAlamosa,"Hillary Clinton / Tim Kaine (DEM)3,189","Donald J. Trump / Michael R. Pence (REP)3,046","Total6,939"
CountyArapahoe,"Hillary Clinton / Tim Kaine (DEM)159,885","Donald J. Trump / Michael R. Pence (REP)117,053","Total303,048"
CountyArchuleta,"Hillary Clinton / Tim Kaine (DEM)2,500","Donald J. Trump / Michael R. Pence (REP)4,264","Total7,339"
CountyBaca,Hillary Clinton / Tim Kaine (DEM)283,"Donald J. Trump / Michael R. Pence (REP)1,753","Total2,153"
CountyBent,Hillary Clinton / Tim Kaine (DEM)590,"Donald J. Trump / Michael R. Pence (REP)1,188","Total1,927"
CountyBoulder,"Hillary Clinton / Tim Kaine (DEM)132,334","Donald J. Trump / Michael R. Pence (REP)41,396","Total188,145"
CountyBroomfield,"Hillary Clinton / Tim Kaine (DEM)19,731","Donald J. Trump / Michael R. Pence (REP)14,367","Total37,690"
CountyChaffee,"Hillary Clinton / Tim Kaine (DEM)4,888","Donald J. Trump / Michael R. Pence (REP)5,391","Total11,250"
CountyCheyenne,Hillary Clinton / Tim Kaine (DEM)132,Donald J. Trump / Michael R. Pence (REP)925,"Total1,102"
CountyClear Creek,"Hillary Clinton / Tim Kaine (DEM)2,729","Donald J. Trump / Michael R. Pence (REP)2,575","Total5,866"
CountyConejos,"Hillary Clinton / Tim Kaine (DEM)1,771","Donald J. Trump / Michael R. Pence (REP)1,914","Total4,022"
CountyCostilla,"Hillary Clinton / Tim Kaine (DEM)1,125",Donald J. Trump / Michael R. Pence (REP)588,"Total1,848"
CountyCrowley,Hillary Clinton / Tim Kaine (DEM)339,"Donald J. Trump / Michael R. Pence (REP)1,079","Total1,527"
CountyCuster,Hillary Clinton / Tim Kaine (DEM)797,"Donald J. Trump / Michael R. Pence (REP)2,061","Total3,066"
CountyDelta,"Hillary Clinton / Tim Kaine (DEM)4,087","Donald J. Trump / Michael R. Pence (REP)11,655","Total16,790"
CountyDenver,"Hillary Clinton / Tim Kaine (DEM)244,551","Donald J. Trump / Michael R. Pence (REP)62,690","Total331,852"
CountyDolores,Hillary Clinton / Tim Kaine (DEM)242,Donald J. Trump / Michael R. Pence (REP)944,"Total1,255"
CountyDouglas,"Hillary Clinton / Tim Kaine (DEM)68,657","Donald J. Trump / Michael R. Pence (REP)102,573","Total187,500"
CountyEagle,"Hillary Clinton / Tim Kaine (DEM)14,099","Donald J. Trump / Michael R. Pence (REP)8,990","Total25,223"
CountyEl Paso,"Hillary Clinton / Tim Kaine (DEM)108,010","Donald J. Trump / Michael R. Pence (REP)179,228","Total318,968"
CountyElbert,"Hillary Clinton / Tim Kaine (DEM)3,134","Donald J. Trump / Michael R. Pence (REP)11,705","Total15,980"
CountyFremont,"Hillary Clinton / Tim Kaine (DEM)5,297","Donald J. Trump / Michael R. Pence (REP)15,122","Total21,973"
