County,Michael Bennet (DEM),Darryl Glenn (REP),Total
CountyAdams,"Michael Bennet (DEM)97,402","Darryl Glenn (REP)76,285","Total184,996"
CountyAlamosa,"Michael Bennet (DEM)3,695","Darryl Glenn (REP)2,894","Total6,972"
CountyArapahoe,"Michael Bennet (DEM)162,747","Darryl Glenn (REP)123,509","Total301,361"
CountyArchuleta,"Michael Bennet (DEM)2,750","Darryl Glenn (REP)4,072","Total7,252"
CountyBaca,Michael Bennet (DEM)577,"Darryl Glenn (REP)1,469","Total2,138"
CountyBent,Michael Bennet (DEM)810,"Darryl Glenn (REP)1,034","Total1,918"
CountyBoulder,"Michael Bennet (DEM)126,334","Darryl Glenn (REP)45,755","Total185,820"
CountyBroomfield,"Michael Bennet (DEM)19,431","Darryl Glenn (REP)15,077","Total36,617"
CountyChaffee,"Michael Bennet (DEM)5,259","Darryl Glenn (REP)5,384","Total11,261"
CountyCheyenne,Michael Bennet (DEM)220,Darryl Glenn (REP)828,"Total1,090"
CountyClear Creek,"Michael Bennet (DEM)2,883","Darryl Glenn (REP)2,541","Total5,875"
CountyConejos,"Michael Bennet (DEM)2,073","Darryl Glenn (REP)1,878","Total4,056"
CountyCostilla,"Michael Bennet (DEM)1,186",Darryl Glenn (REP)547,"Total1,823"
CountyCrowley,Michael Bennet (DEM)504,Darryl Glenn (REP)936,"Total1,518"
CountyCuster,Michael Bennet (DEM)944,"Darryl Glenn (REP)1,984","Total3,060"
CountyDelta,"Michael Bennet (DEM)4,916","Darryl Glenn (REP)10,970","Total16,761"
CountyDenver,"Michael Bennet (DEM)238,774","Darryl Glenn (REP)71,078","Total327,293"
CountyDolores,Michael Bennet (DEM)338,Darryl Glenn (REP)808,"Total1,205"
CountyDouglas,"Michael Bennet (DEM)70,005","Darryl Glenn (REP)107,920","Total186,384"
CountyEagle,"Michael Bennet (DEM)13,707","Darryl Glenn (REP)8,772","Total24,819"
CountyEl Paso,"Michael Bennet (DEM)113,726","Darryl Glenn (REP)183,709","Total316,719"
CountyElbert,"Michael Bennet (DEM)3,684","Darryl Glenn (REP)11,558","Total15,913"
CountyFremont,"Michael Bennet (DEM)6,671","Darryl Glenn (REP)14,154","Total21,954"
CountyGarfield,"Michael Bennet (DEM)12,039","Darryl Glenn (REP)12,596","Total26,201"
CountyGilpin,"Michael Bennet (DEM)1,729","Darryl Glenn (REP)1,503","Total3,581"
CountyGrand,"Michael Bennet (DEM)3,623","Darryl Glenn (REP)4,402","Total8,566"
CountyGunnison,"Michael Bennet (DEM)5,517","Darryl Glenn (REP)3,216","Total9,392"
CountyHinsdale,Michael Bennet (DEM)246,Darryl Glenn (REP)316,Total586
CountyHuerfano,"Michael Bennet (DEM)1,942","Darryl Glenn (REP)1,694","Total3,789"
CountyJackson,Michael Bennet (DEM)235,Darryl Glenn (REP)583,Total854
CountyJefferson,"Michael Bennet (DEM)163,172","Darryl Glenn (REP)139,237","Total321,371"
CountyKiowa,Michael Bennet (DEM)196,Darryl Glenn (REP)621,Total838
CountyKit Carson,Michael Bennet (DEM)894,"Darryl Glenn (REP)2,607","Total3,631"
CountyLa Plata,"Michael Bennet (DEM)15,903","Darryl Glenn (REP)12,678","Total30,638"
CountyLake,"Michael Bennet (DEM)1,704","Darryl Glenn (REP)1,174","Total3,145"
CountyLarimer,"Michael Bennet (DEM)95,789","Darryl Glenn (REP)86,101","Total193,866"
CountyLas Animas,"Michael Bennet (DEM)3,305","Darryl Glenn (REP)3,174","Total6,774"
CountyLincoln,Michael Bennet (DEM)588,"Darryl Glenn (REP)1,742","Total2,413"
CountyLogan,"Michael Bennet (DEM)2,768","Darryl Glenn (REP)6,534","Total9,666"
CountyMesa,"Michael Bennet (DEM)24,109","Darryl Glenn (REP)48,559","Total77,268"
CountyMineral,Michael Bennet (DEM)301,Darryl Glenn (REP)326,Total658
CountyMoffat,"Michael Bennet (DEM)1,338","Darryl Glenn (REP)4,786","Total6,395"
CountyMontezuma,"Michael Bennet (DEM)4,305","Darryl Glenn (REP)7,484","Total12,599"
CountyMontrose,"Michael Bennet (DEM)6,055","Darryl Glenn (REP)13,946","Total20,986"
CountyMorgan,"Michael Bennet (DEM)3,910","Darryl Glenn (REP)7,516","Total11,874"
CountyOtero,"Michael Bennet (DEM)3,651","Darryl Glenn (REP)4,561","Total8,533"
CountyOuray,"Michael Bennet (DEM)1,735","Darryl Glenn (REP)1,397","Total3,309"
CountyPark,"Michael Bennet (DEM)3,722","Darryl Glenn (REP)5,937","Total10,377"
CountyPhillips,Michael Bennet (DEM)695,"Darryl Glenn (REP)1,570","Total2,316"
CountyPitkin,"Michael Bennet (DEM)6,847","Darryl Glenn (REP)2,656","Total10,020"
CountyProwers,"Michael Bennet (DEM)1,648","Darryl Glenn (REP)3,110","Total4,945"
CountyPueblo,"Michael Bennet (DEM)40,475","Darryl Glenn (REP)33,051","Total77,819"
CountyRio Blanco,Michael Bennet (DEM)600,"Darryl Glenn (REP)2,641","Total3,375"
CountyRio Grande,"Michael Bennet (DEM)2,372","Darryl Glenn (REP)2,974","Total5,573"
CountyRoutt,"Michael Bennet (DEM)7,793","Darryl Glenn (REP)5,265","Total13,780"
CountySaguache,"Michael Bennet (DEM)1,570","Darryl Glenn (REP)1,042","Total2,849"
CountySan Juan,Michael Bennet (DEM)279,Darryl Glenn (REP)193,Total498
CountySan Miguel,"Michael Bennet (DEM)2,951","Darryl Glenn (REP)1,055","Total4,308"
CountySedgwick,Michael Bennet (DEM)426,Darryl Glenn (REP)863,"Total1,340"
CountySummit,"Michael Bennet (DEM)9,536","Darryl Glenn (REP)5,178","Total15,914"
CountyTeller,"Michael Bennet (DEM)4,064","Darryl Glenn (REP)9,547","Total14,330"
CountyWashington,Michael Bennet (DEM)527,"Darryl Glenn (REP)2,092","Total2,702"
CountyWeld,"Michael Bennet (DEM)52,263","Darryl Glenn (REP)74,843","Total134,383"
CountyYuma,"Michael Bennet (DEM)1,252","Darryl Glenn (REP)3,386","Total4,762"
